iter	RMSE
0	2.829310989e+18
1	2.786764639e+18
2	2.740165028e+18
3	2.699592007e+18
4	2.658519115e+18
5	2.62112455e+18
6	2.578322206e+18
7	2.54136041e+18
8	2.511741397e+18
9	2.47614105e+18
10	2.442827768e+18
11	2.405899641e+18
12	2.366667871e+18
13	2.329339328e+18
14	2.298532836e+18
15	2.272178855e+18
16	2.247027598e+18
17	2.214990594e+18
18	2.185153565e+18
19	2.15349463e+18
20	2.118617363e+18
21	2.093076036e+18
22	2.063562916e+18
23	2.038724299e+18
24	2.010299088e+18
25	1.987542418e+18
26	1.959597451e+18
27	1.932233401e+18
28	1.909665396e+18
29	1.885129252e+18
30	1.857934199e+18
31	1.831591789e+18
32	1.804627555e+18
33	1.77951954e+18
34	1.757124545e+18
35	1.736587161e+18
36	1.716909095e+18
37	1.6960194e+18
38	1.671352409e+18
39	1.650609587e+18
40	1.630681192e+18
41	1.609395961e+18
42	1.594683981e+18
43	1.57468933e+18
44	1.558378667e+18
45	1.540383268e+18
46	1.5238216e+18
47	1.502441761e+18
48	1.484752508e+18
49	1.467277336e+18
50	1.450123377e+18
51	1.434608133e+18
52	1.419078027e+18
53	1.403341531e+18
54	1.387279966e+18
55	1.367789602e+18
56	1.352894965e+18
57	1.339055449e+18
58	1.32497843e+18
59	1.307948073e+18
60	1.291313931e+18
61	1.276644648e+18
62	1.261059725e+18
63	1.247451127e+18
64	1.23320164e+18
65	1.218046961e+18
66	1.202878866e+18
67	1.188116357e+18
68	1.176350996e+18
69	1.161204118e+18
70	1.15000548e+18
71	1.138546181e+18
72	1.126975806e+18
73	1.113924653e+18
74	1.104030655e+18
75	1.091911341e+18
76	1.080707401e+18
77	1.069095962e+18
78	1.058617951e+18
79	1.0472021e+18
80	1.038129292e+18
81	1.029130067e+18
82	1.020456613e+18
83	1.014001245e+18
84	1.004140962e+18
85	9.958723322e+17
86	9.854093337e+17
87	9.777362284e+17
88	9.685296227e+17
89	9.59727062e+17
90	9.499160132e+17
91	9.431257512e+17
92	9.35977609e+17
93	9.271554561e+17
94	9.195206868e+17
95	9.119866109e+17
96	9.037095828e+17
97	8.973847364e+17
98	8.902748554e+17
99	8.834215558e+17
100	8.755257554e+17
101	8.675133774e+17
102	8.600447111e+17
103	8.545246087e+17
104	8.471545778e+17
105	8.412223157e+17
106	8.340499265e+17
107	8.257919786e+17
108	8.207281819e+17
109	8.150644864e+17
110	8.070527564e+17
111	8.006800389e+17
112	7.931880527e+17
113	7.870541199e+17
114	7.815576512e+17
115	7.748513633e+17
116	7.705581034e+17
117	7.64133694e+17
118	7.577919049e+17
119	7.549297499e+17
120	7.499070438e+17
121	7.456350772e+17
122	7.411485534e+17
123	7.377529866e+17
124	7.344318866e+17
125	7.294568197e+17
126	7.26919147e+17
127	7.226503176e+17
128	7.174587109e+17
129	7.123309974e+17
130	7.078088098e+17
131	7.039817703e+17
132	6.995911194e+17
133	6.965611309e+17
134	6.924690717e+17
135	6.897102392e+17
136	6.860000308e+17
137	6.816599476e+17
138	6.779592805e+17
139	6.752164906e+17
140	6.711723607e+17
141	6.665263201e+17
142	6.642715198e+17
143	6.601695745e+17
144	6.563525573e+17
145	6.540588693e+17
146	6.50474969e+17
147	6.487837172e+17
148	6.457864933e+17
