iter	Passed	Remaining
0	1	1546
1	2	1249
2	2	995
3	3	901
4	4	832
5	4	798
6	5	736
7	5	710
8	6	710
9	7	701
10	7	694
11	8	690
12	9	698
13	10	733
14	11	723
15	11	714
16	12	699
17	12	695
18	13	691
19	13	679
20	14	676
21	15	668
22	15	667
23	16	665
24	17	664
25	17	662
26	18	661
27	19	692
28	20	695
29	21	695
30	22	688
31	22	685
32	23	676
33	24	690
34	24	687
35	25	678
36	25	674
37	26	667
38	26	661
39	27	652
40	27	647
41	28	643
42	28	640
43	29	636
44	29	626
45	29	620
46	30	616
47	30	612
48	31	605
49	31	601
50	32	597
51	32	590
52	32	584
53	33	581
54	33	580
55	34	576
56	34	576
57	35	570
58	35	566
59	36	565
60	36	565
61	37	565
62	37	563
63	38	561
64	39	561
65	39	562
66	40	561
67	40	559
68	41	555
69	41	553
70	42	550
71	42	547
72	42	545
73	43	542
74	43	537
75	44	536
76	44	534
77	45	532
78	45	529
79	45	528
80	46	526
81	46	523
82	47	521
83	47	521
84	48	521
85	48	520
86	49	519
87	50	523
88	51	522
89	51	521
90	51	519
91	52	517
92	52	515
93	53	514
94	53	512
95	54	511
96	54	510
97	55	507
98	55	506
99	56	505
100	56	504
101	57	503
102	57	503
103	58	502
104	59	506
105	59	505
106	60	505
107	60	503
108	61	502
109	62	502
110	62	501
111	63	500
112	63	498
113	64	498
114	64	497
115	65	496
116	65	494
117	66	493
118	66	493
119	67	491
120	67	491
121	68	489
122	68	488
123	68	486
124	69	486
125	69	485
126	70	482
127	70	481
128	71	481
129	71	481
130	72	481
131	72	479
132	73	478
133	73	477
134	74	475
135	74	473
136	74	472
137	75	471
138	76	471
139	76	470
140	77	469
141	77	470
142	78	468
143	78	468
144	79	467
145	79	465
146	80	464
147	80	462
148	80	460
149	81	459
150	81	458
151	81	457
152	82	455
153	82	454
154	83	453
155	83	452
156	84	452
157	84	451
158	85	451
159	85	450
160	86	449
161	86	449
162	87	449
163	87	448
164	88	448
165	88	446
166	89	446
167	90	445
168	90	444
169	90	443
170	91	444
171	92	444
172	92	443
173	93	441
174	93	440
175	93	439
176	94	438
177	94	437
178	95	437
179	95	436
180	96	435
181	96	434
182	97	434
183	97	434
184	98	433
185	98	433
186	99	432
187	99	431
188	100	430
189	100	429
190	101	428
191	101	427
192	102	427
193	102	426
194	103	426
195	103	425
196	104	424
197	104	423
198	105	423
199	105	422
200	106	422
201	106	421
202	107	421
203	107	420
204	108	419
205	108	418
206	109	418
207	109	417
208	110	416
209	110	416
210	111	415
211	111	414
212	111	413
213	112	412
214	112	412
215	113	411
216	113	411
217	114	410
218	114	409
219	115	408
220	115	408
221	116	407
222	116	406
223	117	406
224	117	405
225	118	404
226	118	404
227	119	403
228	119	403
229	120	403
230	120	402
231	121	402
232	121	401
233	122	400
234	122	400
235	123	399
236	123	399
237	124	398
238	124	397
239	125	397
240	125	396
241	126	395
242	126	395
243	127	394
244	127	393
245	128	393
246	128	392
247	129	391
248	129	391
249	130	390
250	130	390
251	131	389
252	131	389
253	132	388
254	133	388
255	133	388
256	134	387
257	134	386
258	135	386
259	135	385
260	135	384
261	136	384
262	137	383
263	137	383
264	137	382
265	138	381
266	138	381
267	139	380
268	139	380
269	140	379
270	140	378
271	141	378
272	141	377
273	142	376
274	142	376
275	143	375
276	143	375
277	144	374
278	144	374
279	145	374
280	145	373
281	146	372
282	146	372
283	147	372
284	148	371
285	148	371
286	149	370
287	149	369
288	150	369
289	150	368
290	151	368
291	151	367
292	152	366
293	152	366
294	153	365
295	153	365
296	154	364
297	154	364
298	155	363
299	155	363
300	156	362
301	156	361
302	157	361
303	157	360
304	158	360
305	158	359
306	158	358
307	159	358
308	160	357
309	160	357
310	161	356
311	161	356
312	162	355
313	162	355
314	163	354
315	163	354
316	164	353
317	164	352
318	164	352
319	165	351
320	165	351
321	166	350
322	166	349
323	167	349
324	167	348
325	168	347
326	168	347
327	169	346
328	169	346
329	170	345
330	170	345
331	171	344
332	171	343
333	172	343
334	172	342
335	173	342
336	173	341
337	174	341
338	174	341
339	175	340
340	176	340
341	176	339
342	177	339
343	177	338
344	178	338
345	178	337
346	179	337
347	179	336
348	180	335
349	180	335
350	181	334
351	181	334
352	182	333
353	182	333
354	183	332
355	183	332
356	184	331
357	184	331
358	185	330
359	185	329
360	186	329
361	186	329
362	187	328
363	187	328
364	188	327
365	188	326
366	189	327
367	190	326
368	190	326
369	191	325
370	191	325
371	192	324
372	192	323
373	193	323
374	193	322
375	194	322
376	194	321
377	195	321
378	195	320
379	196	320
380	196	319
381	197	319
382	197	318
383	198	318
384	198	317
385	199	317
386	199	316
387	200	316
388	200	315
389	201	315
390	201	314
391	202	314
392	203	314
393	204	313
394	204	313
395	205	313
396	205	312
397	206	311
398	206	311
399	207	310
400	207	309
401	207	309
402	208	308
403	208	308
404	209	307
405	209	306
406	210	306
407	210	305
408	211	305
409	211	304
410	212	304
411	212	303
412	213	302
413	213	302
414	214	301
415	214	301
416	215	301
417	215	300
418	216	300
419	217	300
